timestamp,acc_x,acc_y,acc_z
10600,10.23761,-0.220267,0.28491
10620,10.25915,-0.234632,0.251391
10640,10.21606,-0.181959,0.28491
10660,10.24479,-0.227449,0.265756
10680,10.23042,-0.229843,0.265756
10700,10.23521,-0.184354,0.23942
10720,10.22803,-0.213084,0.25618
10740,10.26155,-0.222661,0.268151
10760,10.23042,-0.196325,0.234632
10780,10.23042,-0.196325,0.282516
10800,10.25915,-0.253785,0.241814
10820,10.24,-0.184354,0.265756
10840,10.22803,-0.225055,0.227449
10860,10.21845,-0.21069,0.28491
10880,10.21845,-0.23942,0.246603
10900,10.22564,-0.179565,0.275333
10920,10.21366,-0.244209,0.234632
10940,10.24718,-0.205901,0.301669
10960,10.20888,-0.201113,0.241814
10980,10.21366,-0.196325,0.272939
11000,10.22564,-0.232238,0.241814
11020,10.22085,-0.181959,0.241814
11040,10.25437,-0.253785,0.258574
11060,10.24479,-0.21069,0.246603
11080,10.22564,-0.232238,0.25618
11100,10.24958,-0.208296,0.268151
11120,10.22803,-0.246603,0.215478
11140,10.20888,-0.186748,0.253785
11160,10.25197,-0.225055,0.237026
11180,10.24239,-0.201113,0.265756
11200,10.21606,-0.203507,0.201113
11220,10.22324,-0.181959,0.248997
11240,10.23042,-0.258574,0.234632
11260,10.22564,-0.181959,0.28491
11280,10.23761,-0.203507,0.265756
11300,10.23761,-0.232238,0.270545
11320,10.22803,-0.237026,0.251391
11340,10.20648,-0.184354,0.25618
11360,10.21606,-0.220267,0.248997
11380,10.24958,-0.232238,0.268151
11400,10.20648,-0.186748,0.265756
11420,10.23521,-0.220267,0.251391
11440,10.24,-0.222661,0.244209
11460,10.24,-0.217872,0.232238
11480,10.23042,-0.177171,0.246603
11500,10.23282,-0.265756,0.237026
11520,10.24,-0.19393,0.270545
11540,10.21366,-0.220267,0.21069
11560,10.24239,-0.208296,0.272939
11580,10.24,-0.251391,0.229843
11600,10.23521,-0.167594,0.292093
11620,10.22564,-0.232238,0.186748
11640,10.22803,-0.201113,0.268151
11660,10.23042,-0.21069,0.244209
11680,10.23761,-0.213084,0.287304
11700,10.23282,-0.253785,0.232238
11720,10.22085,-0.205901,0.23942
11740,10.19691,-0.213084,0.203507
11760,10.22803,-0.232238,0.282516
11780,10.21127,-0.196325,0.234632
11800,10.21845,-0.19393,0.234632
11820,10.24718,-0.208296,0.253785
